date,hour,type,东四,天坛,官园,万寿西宫,奥体中心,农展馆,万柳,北部新区,植物园,丰台花园,云岗,古城,房山,大兴,亦庄,通州,顺义,昌平,门头沟,平谷,怀柔,密云,延庆,定陵,八达岭,密云水库,东高村,永乐店,榆垡,琉璃河,前门,永定门内,西直门北,南三环,东四环
20150920,0,SO2,17,11,11,8,13,16,11,7,2,4,,3,8,8,9,13,2,2,2,2,2,2,2,2,83,2,6,3,2,4,13,30,8,8,10
20150920,0,SO2_24h,4,4,3,3,3,4,3,8,2,2,,3,6,4,5,7,2,3,2,2,2,15,2,2,17,2,3,4,2,5,3,14,4,6,6
20150920,0,NO2,64,78,66,105,104,55,60,63,75,59,,90,79,49,38,63,78,27,42,14,10,34,20,29,75,7,27,59,33,53,89,108,129,118,76
20150920,0,NO2_24h,50,49,50,57,71,48,48,29,29,33,,49,68,60,48,56,41,37,25,18,11,32,31,20,42,7,17,44,35,41,66,81,72,91,65
20150920,0,O3,57,39,67,26,58,90,64,2,33,2,,3,39,77,89,61,2,72,48,56,50,17,57,54,46,43,80,39,60,4,,21,20,17,80
20150920,0,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20150920,0,CO,1.2,1.2,1.4,1.4,1.6,1.3,1.5,0.9,0.6,1.4,,0.7,1.2,1.3,1.3,0.8,0.9,0.5,0.5,0.3,0.3,0.4,0.4,0.3,0.5,0.3,0.7,1.4,1.6,0.5,1.2,1.4,1.4,1.2,1.1
20150920,0,CO_24h,0.6,0.5,0.6,0.7,0.7,0.6,0.7,0.6,0.4,0.7,,0.6,0.6,0.8,0.6,0.2,0.4,0.5,0.4,0.4,0.3,1.4,0.4,0.3,0.4,0.3,0.3,0.7,0.9,0.3,0.6,0.6,0.6,0.7,0.5
20150920,1,SO2,13,8,10,6,10,13,10,8,2,3,,3,9,4,8,12,2,2,2,2,2,2,2,2,3,2,4,2,2,4,10,29,7,6,8
20150920,1,SO2_24h,4,4,3,3,4,4,3,8,2,2,,3,6,4,5,8,2,3,2,2,2,15,2,2,17,2,3,3,2,5,4,14,4,6,6
20150920,1,NO2,61,64,44,75,84,37,56,55,39,46,,87,54,68,45,47,54,34,18,11,18,41,17,23,23,7,26,54,29,52,84,109,81,113,78
20150920,1,NO2_24h,49,49,49,56,70,45,52,32,30,33,,53,67,59,46,54,41,37,25,18,11,32,30,20,41,7,17,43,33,41,65,81,74,91,68
20150920,1,O3,50,38,89,41,70,98,55,2,56,18,,2,58,32,63,70,2,52,65,59,28,10,53,55,102,37,73,40,48,3,,14,50,10,65
20150920,1,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
