date,hour,type,东四,天坛,官园,万寿西宫,奥体中心,农展馆,万柳,北部新区,植物园,丰台花园,云岗,古城,房山,大兴,亦庄,通州,顺义,昌平,门头沟,平谷,怀柔,密云,延庆,定陵,八达岭,密云水库,东高村,永乐店,榆垡,琉璃河,前门,永定门内,西直门北,南三环,东四环
20150930,0,SO2,2,3,2,2,3,2,2,2,2,2,2,2,5,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,5,2,5,2
20150930,0,SO2_24h,3,5,3,3,5,3,2,2,2,2,2,2,4,3,4,4,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,7,3,7,4
20150930,0,NO2,55,60,40,40,68,59,39,41,7,60,21,32,49,51,67,63,29,41,17,23,18,27,31,19,51,6,17,64,48,36,49,58,68,71,63
20150930,0,NO2_24h,50,61,53,48,61,52,41,36,22,60,39,43,54,58,61,58,36,38,29,26,14,26,24,15,48,5,19,47,44,42,59,68,69,71,60
20150930,0,O3,2,2,14,10,2,2,6,2,20,2,38,13,13,5,2,2,12,2,13,10,2,7,9,17,10,18,8,2,2,3,5,5,,2,2
20150930,0,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20150930,0,CO,1.1,0.7,0.6,0.7,0.8,0.7,0.6,0.5,0.5,0.8,0.4,0.5,0.5,0.9,0.9,0.6,0.4,0.6,0.4,0.5,0.7,0.7,0.5,0.4,0.3,0.6,0.6,0.5,1.1,0.4,0.5,0.6,0.7,0.9,0.5
20150930,0,CO_24h,1.5,1.2,1.2,1.2,1.3,1.1,1,1,0.9,1.2,1,0.9,1.1,1.5,1.2,1,0.8,1.1,0.8,0.8,0.8,1,0.5,0.7,0.7,0.9,0.9,1.2,1.7,0.8,1.1,1.2,1.2,1.4,1.1
20150930,1,SO2,2,3,2,2,3,2,2,2,2,2,2,2,4,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,5,2,4,3
20150930,1,SO2_24h,3,4,2,2,4,3,2,2,2,2,2,2,4,3,4,4,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,6,3,7,4
20150930,1,NO2,54,57,46,43,68,59,37,36,7,60,29,39,39,53,66,64,30,20,12,20,13,40,17,13,57,7,11,61,48,35,59,65,66,63,57
20150930,1,NO2_24h,50,60,51,47,60,51,40,36,20,59,38,43,53,57,61,58,35,38,29,27,13,26,24,15,48,5,18,47,44,41,58,68,67,70,59
20150930,1,O3,2,2,5,9,2,2,2,3,19,2,15,8,13,4,2,2,2,16,18,7,2,2,24,17,2,14,17,2,2,3,2,3,,2,2
20150930,1,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20150930,1,CO,1,0.7,0.7,0.7,0.8,0.6,0.6,0.4,0.5,0.7,0.4,0.6,0.6,0.8,0.7,0.6,0.4,0.5,0.4,0.5,0.7,0.8,0.4,0.4,0.3,0.7,0.6,0.5,1.1,0.3,0.5,0.6,0.7,0.7,0.6
20150930,1,CO_24h,1.4,1.1,1.1,1.1,1.2,1,1,0.9,0.8,1.1,1,0.9,1.1,1.4,1.2,1,0.8,1.1,0.8,0.8,0.8,0.9,0.5,0.7,0.7,0.8,0.9,1.1,1.7,0.7,1,1.2,1.1,1.4,1
20150930,2,SO2,2,2,2,2,3,2,2,3,2,2,2,2,6,2,3,3,8,2,2,4,2,2,2,2,2,2,2,2,2,4,2,5,2,2,3
20150930,2,SO2_24h,3,4,2,2,4,2,2,2,2,2,2,2,4,3,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,6,3,7,4
20150930,2,NO2,49,52,45,34,57,56,41,35,6,56,20,45,44,47,60,63,23,14,12,15,10,40,14,9,37,9,8,52,35,30,55,65,67,61,53
20150930,2,NO2_24h,49,59,50,46,59,51,39,36,18,58,37,42,52,56,60,58,33,38,28,26,13,27,24,15,47,5,18,47,43,40,58,67,66,69,58
20150930,2,O3,3,2,6,13,4,3,2,2,20,2,12,8,6,8,2,2,2,15,15,7,2,2,29,25,28,7,20,2,2,2,2,9,,2,2
20150930,2,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20150930,2,CO,0.9,0.7,0.6,0.6,0.7,0.6,0.6,0.5,0.4,0.7,0.3,0.6,0.6,0.8,0.7,0.6,0.3,0.5,0.4,0.4,0.7,0.7,0.4,0.5,0.3,0.6,0.6,0.5,1.1,0.3,0.5,0.6,0.6,0.5,0.6
20150930,2,CO_24h,1.4,1.1,1.1,1.1,1.1,1,0.9,0.9,0.8,1.1,0.9,0.9,1,1.4,1.1,1,0.7,1.1,0.8,0.8,0.8,0.9,0.5,0.7,0.6,0.8,0.8,1.1,1.6,0.7,1,1.1,1.1,1.3,1
20150930,3,SO2,2,2,2,2,3,2,2,2,2,2,2,2,4,2,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,6,3,2,6
20150930,3,SO2_24h,2,4,2,2,4,2,2,2,2,2,2,2,4,3,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,6,3,6,4
20150930,3,NO2,41,49,46,39,54,52,38,34,7,51,26,39,41,57,58,58,22,19,11,14,7,39,14,8,29,11,7,54,33,26,53,52,63,54,54
20150930,3,NO2_24h,48,58,49,45,57,50,38,36,16,57,36,41,51,56,60,58,32,37,27,25,13,27,24,15,46,5,18,47,42,39,57,66,66,68,58
20150930,3,O3,6,2,5,8,2,3,2,2,26,2,8,12,8,2,2,2,2,12,17,125,2,2,34,30,39,3,256,2,2,5,2,12,,5,2
20150930,3,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20150930,3,CO,0.5,0.6,0.6,0.7,0.8,0.6,0.6,0.5,0.3,0.6,0.5,0.5,0.6,0.8,0.7,0.6,0.4,0.6,0.3,0.5,0.7,0.7,0.4,0.5,0.2,0.6,0.5,0.5,1.1,0.3,0.5,0.6,0.7,0.5,0.7
20150930,3,CO_24h,1.3,1,1,1,1.1,0.9,0.9,0.9,0.7,1,0.9,0.8,1,1.3,1.1,0.9,0.7,1.1,0.8,0.7,0.8,0.9,0.5,0.7,0.6,0.8,0.8,1,1.5,0.7,0.9,1.1,1.1,1.3,0.9
20150930,4,SO2,2,2,2,2,3,2,,2,2,2,2,,4,2,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,5,2,2,5
20150930,4,SO2_24h,2,4,2,2,4,2,,2,2,2,2,,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,6,2,6,4
20150930,4,NO2,39,40,40,36,57,52,32,33,7,48,38,18,42,53,62,56,27,32,22,16,3,34,11,11,63,9,6,46,24,27,52,52,59,54,50
20150930,4,NO2_24h,48,57,48,44,57,50,37,36,15,56,35,39,50,56,59,58,32,36,27,25,12,28,23,15,46,5,18,47,41,38,57,66,64,68,57
20150930,4,O3,10,10,7,9,2,2,2,,22,7,2,9,2,2,2,2,2,2,4,13,6,2,34,20,2,5,32,2,2,,2,10,,2,2
20150930,4,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
