date,hour,type,东四,天坛,官园,万寿西宫,奥体中心,农展馆,万柳,北部新区,植物园,丰台花园,云岗,古城,房山,大兴,亦庄,通州,顺义,昌平,门头沟,平谷,怀柔,密云,延庆,定陵,八达岭,密云水库,东高村,永乐店,榆垡,琉璃河,前门,永定门内,西直门北,南三环,东四环
20150903,0,PM2.5,18,14,22,18,16,15,18,9,5,20,11,8,8,19,23,19,21,7,6,16,13,8,3,7,9,3,14,20,17,22,21,19,23,18,17
20150903,0,PM2.5_24h,9,9,14,13,10,6,10,9,6,10,9,9,10,11,10,9,9,8,8,14,10,10,6,7,13,6,10,11,12,11,12,11,15,14,11
20150903,0,PM10,35,27,51,28,41,32,42,13,18,32,19,15,15,51,48,54,37,8,11,18,17,,23,14,10,7,15,23,18,,44,92,74,79,73
20150903,0,PM10_24h,17,21,28,63,19,13,19,23,13,25,16,19,18,30,22,21,18,14,16,30,15,,18,12,17,12,15,20,31,,26,39,40,44,34
20150903,0,AQI,22,21,29,57,34,37,19,23,15,33,16,19,18,30,23,22,19,16,17,31,16,28,18,15,19,13,22,20,32,19,29,52,45,44,41
20150903,1,PM2.5,19,17,20,18,14,12,21,11,5,16,13,10,16,26,25,25,16,8,4,9,11,11,8,6,9,,12,17,15,16,19,23,18,25,24
20150903,1,PM2.5_24h,9,10,14,13,10,6,10,9,5,10,9,9,11,11,10,10,10,8,8,13,10,10,6,7,13,,10,11,12,11,12,11,15,14,12
20150903,1,PM10,36,27,30,27,47,30,29,,13,44,22,16,23,52,45,55,32,10,10,,11,,24,12,13,12,15,24,,19,43,61,50,76,64
20150903,1,PM10_24h,19,21,28,64,20,14,19,,13,26,16,19,19,31,23,23,19,14,17,,14,,18,12,16,12,15,20,,19,28,42,41,46,36
20150903,1,AQI,28,21,29,57,25,36,20,23,16,30,17,20,19,32,24,23,20,16,17,31,15,28,19,13,19,13,20,20,32,19,39,46,41,46,40
20150903,2,PM2.5,21,23,19,16,21,20,15,11,8,9,8,13,20,30,31,28,14,12,6,9,9,5,5,7,9,5,9,22,26,18,23,24,19,25,23
20150903,2,PM2.5_24h,10,10,15,13,10,7,11,9,6,10,9,10,11,12,11,10,10,9,8,13,10,10,6,7,13,6,10,11,12,11,12,12,15,15,12
20150903,2,PM10,46,25,42,,48,44,20,13,15,24,14,32,25,37,39,65,,,21,,,11,24,12,13,11,16,26,,,35,,72,58,59
20150903,2,PM10_24h,20,21,29,,22,15,19,23,13,27,16,20,20,32,24,25,,,17,,,26,19,12,16,12,15,20,,,28,,43,46,37
20150903,2,AQI,27,21,30,57,22,40,20,23,14,27,17,21,20,32,24,29,20,16,17,31,15,26,19,13,19,13,19,21,32,19,30,43,43,47,38
20150903,3,PM2.5,17,16,17,20,14,21,11,9,9,11,10,13,9,25,31,33,9,7,9,9,8,5,,5,9,3,13,20,23,17,26,21,14,17,20
20150903,3,PM2.5_24h,10,11,15,14,10,7,11,9,6,10,9,10,11,13,12,11,10,9,8,12,10,10,,7,12,6,10,11,13,11,13,12,15,15,12
20150903,3,PM10,24,28,25,,,37,17,,16,15,13,25,,27,37,70,,10,13,11,,,19,11,,9,15,31,,,39,39,17,34,41
20150903,3,PM10_24h,21,21,29,,,16,19,,14,26,16,21,,31,25,27,,14,17,29,,,19,13,,12,15,21,,,29,42,41,46,38
20150903,3,AQI,21,22,29,57,22,28,20,23,14,28,17,21,21,32,25,31,20,15,18,29,15,26,19,16,18,13,17,21,32,19,29,43,42,46,39
20150903,4,PM2.5,15,21,13,14,9,15,10,8,10,11,6,10,5,20,26,25,6,8,6,7,8,8,4,8,12,4,13,24,25,10,10,15,10,17,17
20150903,4,PM2.5_24h,10,11,15,14,10,8,11,9,6,10,9,10,11,13,13,12,10,9,8,12,9,10,6,7,12,5,10,12,14,11,13,12,15,16,13
20150903,4,PM10,,22,14,,,20,21,11,15,,12,12,12,,42,48,8,16,8,,,,27,13,12,10,16,26,,13,,,,19,18
20150903,4,PM10_24h,,21,28,,,17,19,23,14,,17,21,20,,26,28,19,15,17,,,,20,13,16,12,16,21,,19,,,,46,38
20150903,4,AQI,22,22,28,59,23,21,20,23,14,26,17,21,21,32,27,29,20,15,17,29,15,26,20,16,18,13,16,22,32,19,29,43,42,47,39
20150903,5,PM2.5,11,17,16,11,11,9,11,9,5,11,3,9,,19,24,18,9,10,10,6,9,5,4,9,13,3,12,27,27,12,12,11,6,12,10
20150903,5,PM2.5_24h,10,11,15,13,10,8,11,9,6,10,9,10,,14,13,13,10,9,8,11,9,9,6,7,12,5,10,13,15,12,13,13,15,16,13
20150903,5,PM10,,,,,13,,19,10,14,15,9,11,8,,31,20,14,13,15,9,,5,24,15,14,11,15,33,,17,,15,18,,
20150903,5,PM10_24h,,,,,22,,20,22,14,27,16,21,20,,27,28,19,15,17,27,,24,20,13,15,12,16,22,,19,,42,40,,
20150903,5,AQI,22,22,30,59,23,18,20,23,14,27,17,21,21,32,28,29,20,16,18,28,15,25,21,16,18,13,16,23,32,20,30,42,41,48,39
20150903,6,PM2.5,9,10,15,14,11,10,10,9,7,12,7,7,5,15,16,15,10,15,13,5,6,4,3,8,17,8,14,27,25,12,11,9,10,8,10
20150903,6,PM2.5_24h,11,11,15,13,10,8,11,9,6,11,9,10,11,14,14,13,10,9,8,11,9,9,6,7,12,5,10,13,15,12,13,13,15,16,13
20150903,6,PM10,,13,31,,19,,24,12,13,14,14,24,14,20,,,14,19,24,28,7,13,26,15,,15,14,32,25,13,,,25,17,24
20150903,6,PM10_24h,,21,29,,23,,21,22,14,27,16,21,20,31,,,19,15,18,27,14,25,21,13,,12,16,23,31,20,,,41,48,39
20150903,6,AQI,23,22,30,62,23,18,21,23,15,27,17,22,20,31,28,30,20,23,18,28,14,25,21,18,17,13,16,24,31,20,32,42,42,48,39
20150903,7,PM2.5,9,5,16,6,10,3,14,14,6,13,8,10,18,12,12,12,7,12,5,8,8,13,,8,14,7,10,28,23,15,9,9,6,9,6
20150903,7,PM2.5_24h,10,11,16,12,10,8,11,10,6,11,8,10,11,14,14,13,10,9,8,11,9,10,,7,11,5,10,14,16,12,13,13,14,16,12
20150903,7,PM10,,16,24,15,16,12,23,37,19,28,18,27,,30,17,19,12,18,18,17,17,,31,24,21,12,20,82,35,49,18,38,40,38,
20150903,7,PM10_24h,,21,30,68,23,18,21,23,14,27,16,22,,31,28,29,20,15,18,26,14,,22,13,16,12,16,26,32,22,31,43,42,48,
20150903,7,AQI,23,21,30,60,24,18,21,23,15,27,17,22,20,32,28,30,20,21,18,27,15,27,22,16,17,13,16,27,32,22,31,44,43,49,40
20150903,8,PM2.5,7,8,10,8,7,3,12,17,11,12,12,13,10,15,12,10,6,9,10,13,8,5,3,10,8,6,12,23,27,16,11,15,13,10,9
20150903,8,PM2.5_24h,10,11,15,12,10,8,12,10,6,11,8,10,11,14,14,13,10,9,8,10,9,10,6,7,11,5,11,15,16,12,13,13,14,16,12
20150903,8,PM10,12,14,17,14,20,8,26,41,15,,29,25,24,,20,23,15,18,24,27,19,13,31,22,20,12,22,,119,35,,,,39,32
20150903,8,PM10_24h,22,20,29,67,23,17,21,21,14,,17,22,20,,28,29,19,15,18,26,13,26,22,13,16,12,16,,38,21,,,,48,39
20150903,8,AQI,23,21,30,59,23,18,21,21,15,27,17,22,21,32,29,30,20,15,18,27,14,27,23,18,16,13,17,27,39,21,31,44,43,49,39
20150903,9,PM2.5,3,10,16,6,8,5,13,15,8,8,14,11,16,11,12,10,10,14,9,13,9,11,8,11,14,11,9,21,17,15,7,9,6,10,4
20150903,9,PM2.5_24h,10,11,15,12,10,8,11,10,6,11,8,11,11,14,14,13,10,9,8,11,9,10,6,7,11,5,11,15,16,12,12,12,14,15,12
20150903,9,PM10,16,14,,9,17,11,14,,,,26,23,22,,,22,16,29,20,31,14,11,32,19,23,21,16,30,,,12,21,9,,5
20150903,9,PM10_24h,22,19,,66,23,17,21,,,,17,21,20,,,30,19,16,18,27,13,26,22,13,15,13,16,27,,,29,43,41,,38
