date,hour,type,东四,天坛,官园,万寿西宫,奥体中心,农展馆,万柳,北部新区,植物园,丰台花园,云岗,古城,房山,大兴,亦庄,通州,顺义,昌平,门头沟,平谷,怀柔,密云,延庆,定陵,八达岭,密云水库,东高村,永乐店,榆垡,琉璃河,前门,永定门内,西直门北,南三环,东四环
20160911,0,PM2.5,62,54,43,45,54,80,27,35,15,47,38,43,37,55,113,102,107,16,18,102,21,25,25,16,,14,98,150,58,25,52,63,36,68,88
20160911,0,PM2.5_24h,20,18,18,19,16,19,16,21,9,19,18,18,19,20,27,25,21,14,14,22,13,10,25,11,,8,23,52,30,23,21,21,20,25,22
20160911,0,PM10,160,100,46,98,172,169,80,105,41,102,96,108,99,131,136,237,161,44,41,127,41,50,30,,,,,,78,65,157,67,112,185,227
20160911,0,PM10_24h,40,39,37,47,43,42,45,62,30,56,54,65,64,57,61,77,46,40,37,44,36,32,48,31,,14,39,74,53,63,52,54,55,72,62
20160911,0,AQI,46,40,51,51,63,49,49,57,30,57,53,58,57,54,56,64,46,40,38,45,36,32,48,31,,20,39,72,52,57,55,53,54,61,69
20160911,1,PM2.5,115,115,79,105,98,115,26,30,31,70,48,29,33,75,121,134,127,14,19,111,23,23,18,19,,7,95,140,50,15,108,117,65,122,120
20160911,1,PM2.5_24h,23,21,20,22,19,23,17,21,10,21,19,19,19,22,30,28,26,14,14,26,14,11,23,12,,8,26,56,30,22,24,24,22,29,26
20160911,1,PM10,201,138,,226,220,179,71,81,92,181,110,62,82,145,130,201,149,32,51,116,45,45,34,25,,,,,53,72,226,201,290,234,244
20160911,1,PM10_24h,48,42,36,55,49,49,46,62,34,60,57,67,64,58,62,79,51,41,39,48,36,33,47,32,,14,40,73,52,64,60,61,65,79,73
20160911,1,AQI,49,43,36,53,53,50,46,57,45,55,54,59,57,54,56,65,51,41,39,49,37,33,48,32,,25,40,76,52,57,55,56,58,65,62
20160911,2,PM2.5,145,141,103,122,139,150,43,28,37,77,57,25,37,105,139,122,80,18,30,83,32,32,20,23,,3,86,121,34,19,131,143,106,128,136
20160911,2,PM2.5_24h,28,26,24,27,24,29,18,21,11,23,21,20,19,24,35,32,29,15,15,29,15,12,23,12,,8,29,58,30,22,29,29,25,34,31
20160911,2,PM10,181,,,,212,167,83,53,119,97,86,56,91,149,,124,,33,56,,37,37,20,33,,16,,,,74,163,150,,140,194
20160911,2,PM10_24h,57,42,35,56,56,56,47,63,38,63,58,68,65,60,62,79,52,42,40,50,37,34,46,33,,14,41,71,52,65,65,65,66,83,78
20160911,2,AQI,54,43,36,54,54,53,47,57,39,57,55,60,58,56,56,65,52,42,41,50,38,34,47,34,,20,42,79,52,58,58,58,59,67,65
20160911,3,PM2.5,78,108,56,77,75,68,54,26,68,54,50,30,39,65,35,97,20,19,16,53,27,17,15,31,,16,86,42,34,24,107,129,53,120,53
20160911,3,PM2.5_24h,31,30,26,29,27,31,19,21,14,25,22,20,20,26,36,35,29,15,15,31,16,12,22,14,,8,32,57,30,22,33,34,27,39,33
20160911,3,PM10,,,,,,,91,49,107,113,69,69,93,84,,,,54,31,,39,39,20,38,,19,,,38,60,,,69,,
20160911,3,PM10_24h,59,43,35,58,57,58,48,63,42,68,59,68,66,63,63,79,54,43,41,52,38,35,45,34,,15,41,69,52,63,66,66,67,85,81
20160911,3,AQI,55,44,37,54,54,54,48,57,43,59,55,60,59,57,57,65,52,44,41,51,39,35,45,35,,20,47,78,52,57,58,59,59,68,66
20160911,4,PM2.5,20,23,22,19,19,21,21,26,26,28,28,33,40,37,16,24,19,27,36,19,25,23,26,30,,18,,21,33,23,18,18,15,25,16
20160911,4,PM2.5_24h,31,31,26,30,27,32,19,22,15,26,23,21,22,27,36,35,29,16,17,31,16,13,22,15,,8,33,56,31,22,33,34,27,39,33
20160911,4,PM10,,,82,,,,25,26,,45,51,60,105,63,,,,44,61,,31,31,45,39,,18,,,51,74,,,27,,
20160911,4,PM10_24h,59,43,37,59,59,60,47,62,44,69,60,68,69,65,64,82,56,44,43,52,39,36,45,36,,15,43,69,53,63,68,68,67,87,84
20160911,4,AQI,55,44,38,55,55,55,48,56,44,60,55,59,60,58,58,66,53,45,43,51,40,36,46,36,,19,48,77,52,57,59,60,59,69,67
20160911,5,PM2.5,16,12,17,21,17,20,18,18,19,19,22,26,23,15,18,15,22,27,34,22,22,19,25,26,,17,,19,39,21,13,17,17,20,17
20160911,5,PM2.5_24h,31,30,26,30,27,32,20,22,15,26,24,22,22,28,37,36,30,17,18,32,17,14,22,16,,9,35,55,31,22,32,34,26,39,33
20160911,5,PM10,,,,23,,,23,42,31,31,37,36,66,,,18,,32,46,,26,26,34,26,,23,6,,,71,,,,,
20160911,5,PM10_24h,62,44,37,58,60,62,47,61,45,69,60,69,69,66,66,82,58,45,43,54,40,36,45,37,,16,43,71,53,64,70,71,68,90,86
20160911,5,AQI,56,44,38,55,55,56,47,56,45,60,56,60,60,59,59,67,54,45,44,53,40,37,45,37,,16,50,76,52,57,61,61,59,71,69
20160911,6,PM2.5,24,18,23,22,27,23,20,22,22,20,24,24,30,19,22,23,24,29,42,16,25,22,22,32,,21,7,20,22,15,22,25,23,22,24
