date,hour,type,东四,天坛,官园,万寿西宫,奥体中心,农展馆,万柳,北部新区,植物园,丰台花园,云岗,古城,房山,大兴,亦庄,通州,顺义,昌平,门头沟,平谷,怀柔,密云,延庆,定陵,八达岭,密云水库,东高村,永乐店,榆垡,琉璃河,前门,永定门内,西直门北,南三环,东四环
20160908,0,PM2.5,22,22,18,18,22,22,18,12,6,15,17,18,16,,17,30,23,13,11,22,28,28,18,18,,23,21,31,10,11,20,23,28,23,39
20160908,0,PM2.5_24h,43,37,44,41,40,39,41,39,33,39,41,45,36,,29,31,37,36,34,31,40,38,15,34,,26,25,46,26,39,42,42,47,52,43
20160908,0,PM10,26,,27,,,33,,,6,23,,26,,,,53,31,18,22,33,30,35,27,,,34,35,,11,,29,,42,35,42
20160908,0,PM10_24h,59,65,72,79,74,60,66,85,66,69,84,111,76,,52,63,71,69,84,56,62,57,39,70,,38,49,59,45,81,83,71,85,94,81
20160908,0,AQI,64,57,65,64,62,61,63,72,61,61,68,85,63,,52,58,63,60,68,54,54,54,43,53,,34,49,61,47,65,66,62,69,73,65
20160908,1,PM2.5,32,16,27,17,23,28,15,13,4,21,15,19,11,,17,33,29,10,9,29,24,25,17,14,,21,28,32,12,20,27,22,28,25,36
20160908,1,PM2.5_24h,42,36,43,40,39,38,39,38,32,38,39,44,34,,28,31,37,34,33,31,39,37,15,33,,26,26,45,25,38,42,41,46,50,43
20160908,1,PM10,,,,,,,17,,6,36,17,,21,,,42,45,,9,45,,27,27,,,,45,,,,33,,35,,39
20160908,1,PM10_24h,59,65,72,79,74,60,62,85,62,67,79,111,73,,52,62,69,69,79,55,62,56,38,70,,38,48,59,45,81,80,71,82,94,79
20160908,1,AQI,62,57,64,64,62,59,61,71,59,60,67,85,62,,51,57,62,60,66,54,55,54,42,53,,35,47,61,47,65,65,60,68,73,64
20160908,2,PM2.5,27,16,23,22,23,23,22,7,10,25,16,9,12,,17,31,31,12,13,25,23,23,7,7,,16,18,31,11,20,28,26,26,25,38
20160908,2,PM2.5_24h,41,35,42,39,38,37,38,36,31,37,38,42,33,,28,31,37,33,32,31,38,36,15,31,,25,25,45,25,37,41,40,45,49,43
20160908,2,PM10,,,,,27,29,25,,,49,19,,23,,24,33,39,20,,25,,30,25,8,,,,,12,57,37,,28,31,49
20160908,2,PM10_24h,59,65,72,79,71,58,60,85,62,66,75,111,70,,50,60,68,66,79,54,62,54,38,65,,38,48,59,43,79,78,71,79,90,77
20160908,2,AQI,61,57,62,64,60,58,59,70,59,60,65,85,60,,51,56,62,59,65,53,56,54,40,52,,35,47,60,45,64,64,60,66,71,63
20160908,3,PM2.5,33,20,30,24,25,27,13,9,8,23,15,10,14,,23,32,27,12,7,23,23,25,19,8,,21,20,36,13,8,22,34,27,26,38
20160908,3,PM2.5_24h,41,34,41,38,37,37,37,35,29,36,37,40,32,,28,31,36,32,31,31,38,36,15,30,,25,25,44,24,35,40,40,44,48,42
20160908,3,PM10,,,31,,,,20,,,61,15,,23,,31,41,32,,,25,25,34,21,,,,,,,24,30,,41,82,61
20160908,3,PM10_24h,59,65,70,79,71,58,57,85,62,66,72,111,67,,49,59,66,66,79,52,60,53,37,65,,38,48,59,43,75,75,71,76,90,76
20160908,3,AQI,60,57,61,64,60,56,57,70,59,59,63,84,59,,50,55,60,60,66,52,55,53,39,53,,35,47,60,45,62,62,60,64,71,63
20160908,4,PM2.5,30,22,25,23,21,32,21,12,3,18,16,7,13,,28,31,38,9,9,33,25,27,16,9,,24,28,34,17,11,33,27,33,26,37
20160908,4,PM2.5_24h,40,34,41,37,36,37,36,34,28,35,36,39,31,,28,31,36,31,30,31,37,35,15,29,,25,25,44,24,34,40,39,43,47,42
20160908,4,PM10,,,25,26,24,,23,,6,43,23,17,27,,35,50,50,,12,40,,38,,,,,31,,,26,,,54,37,
20160908,4,PM10_24h,59,65,67,75,67,58,55,85,59,65,69,105,65,,48,59,65,66,75,52,60,53,37,65,,38,47,59,43,71,75,71,75,87,76
