date,hour,type,东四,天坛,官园,万寿西宫,奥体中心,农展馆,万柳,北部新区,植物园,丰台花园,云岗,古城,房山,大兴,亦庄,通州,顺义,昌平,门头沟,平谷,怀柔,密云,延庆,定陵,八达岭,密云水库,东高村,永乐店,榆垡,琉璃河,前门,永定门内,西直门北,南三环,东四环
20160916,0,SO2,6,2,3,2,2,5,2,10,2,2,2,2,2,3,3,11,2,2,2,5,2,2,2,2,2,2,9,4,2,3,3,9,7,11,3
20160916,0,SO2_24h,4,3,4,3,3,4,4,8,7,3,4,4,4,5,3,8,3,5,2,6,2,2,5,5,6,2,8,8,7,6,4,9,6,11,4
20160916,0,NO2,46,45,44,61,47,42,66,61,11,92,70,70,84,25,27,38,62,22,11,38,11,49,18,3,44,4,14,23,10,24,96,115,67,72,128
20160916,0,NO2_24h,48,44,49,51,47,47,43,41,19,54,51,47,64,43,45,54,40,32,18,25,13,28,33,3,47,4,17,44,15,38,68,71,76,86,72
20160916,0,O3,95,54,82,58,102,102,42,2,112,17,42,28,41,127,114,108,,94,100,95,92,51,128,114,105,110,,83,43,15,51,2,100,113,2
20160916,0,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20160916,0,CO,1.5,1.4,1.5,1.5,1.3,1.2,1.7,0.7,1.3,1.6,1.5,1.6,1.4,1.2,1.7,1.4,1.4,1.1,1,1.1,0.6,0.7,0.6,0.1,0.8,0.5,1,1.5,1.1,1.1,1.6,1.4,1.5,,1.6
20160916,0,CO_24h,1.1,1,0.9,1,0.8,0.9,0.9,0.6,0.9,1,0.9,1,0.8,1,1.4,1,0.9,0.9,0.9,0.9,0.7,0.7,0.6,0.1,0.5,0.6,0.8,1.4,0.9,0.8,1.1,0.9,0.9,,1
20160916,1,SO2,5,2,2,2,2,4,2,9,2,2,2,2,2,2,2,8,2,2,2,4,2,2,2,2,2,2,7,5,2,3,3,6,7,10,4
20160916,1,SO2_24h,5,3,4,3,3,4,4,8,6,3,4,4,4,5,3,8,3,5,2,6,2,2,5,5,6,2,8,8,7,6,4,9,6,11,4
20160916,1,NO2,58,51,55,47,46,47,78,58,11,97,69,77,73,32,25,99,38,17,11,25,9,42,26,5,66,5,12,28,11,30,97,108,106,90,111
20160916,1,NO2_24h,46,42,48,48,46,45,43,41,18,54,50,46,62,41,42,55,40,32,18,25,13,27,32,3,48,4,17,41,15,37,68,71,77,85,73
20160916,1,O3,71,31,50,70,92,70,21,5,98,7,33,22,21,94,97,23,,68,79,86,85,53,109,89,56,114,,65,26,28,34,2,46,99,2
20160916,1,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20160916,1,CO,1.5,1.4,1.6,1.4,1.3,1.5,1.5,0.8,1.3,1.6,1.6,1.5,2.2,1.3,1.6,1.5,1.7,1.8,0.9,1.4,0.6,0.7,0.6,0.1,0.8,0.8,1,1.6,1.1,1.1,1.7,1.4,1.7,,1.4
20160916,1,CO_24h,1.1,1,1,1,0.8,0.9,0.9,0.6,0.9,1,0.9,1,0.9,1,1.4,1.1,1,0.9,0.9,0.9,0.7,0.7,0.6,0.1,0.5,0.6,0.8,1.4,0.9,0.8,1.1,0.9,1,,1
20160916,2,SO2,5,2,2,2,2,4,2,4,2,2,3,2,8,2,2,13,7,23,2,7,2,2,2,3,2,2,9,4,2,3,2,6,5,9,6
20160916,2,SO2_24h,5,3,4,3,3,5,4,8,6,3,4,4,4,5,3,8,3,6,2,6,2,2,5,5,6,2,8,8,6,6,4,9,6,11,4
20160916,2,NO2,61,55,61,62,89,54,54,55,11,73,52,33,59,68,28,45,28,43,11,20,8,35,20,7,29,4,12,36,9,24,86,99,102,86,97
20160916,2,NO2_24h,45,41,48,47,48,44,43,42,18,53,49,44,61,42,39,52,40,32,18,25,13,27,31,3,47,4,17,40,14,35,68,71,77,85,73
20160916,2,O3,39,9,26,29,20,48,43,5,86,19,35,64,4,24,85,80,,15,48,94,77,57,77,91,75,117,,46,13,38,26,2,15,103,2
20160916,2,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20160916,2,CO,1.5,1.4,1.6,1.5,1.4,1.4,1.1,0.9,1.2,1.6,1.2,1.9,0.6,1.3,1.6,1.5,0.8,0.8,0.7,0.9,0.6,0.7,0.6,0.1,0.8,0.5,1,1.6,0.9,1,1.6,1.4,1.6,,1.3
20160916,2,CO_24h,1.1,1,1,1.1,0.8,0.9,1,0.6,1,1,1,1.1,0.9,1,1.4,1.1,1,0.9,0.9,0.9,0.7,0.7,0.6,0.1,0.5,0.6,0.9,1.4,0.9,0.8,1.2,0.9,1,,1
20160916,3,SO2,4,2,2,2,2,4,2,8,2,2,2,2,4,2,2,16,3,2,2,6,2,2,2,2,2,2,9,3,2,3,,7,5,10,4
20160916,3,SO2_24h,5,3,4,3,3,5,4,8,6,3,4,4,4,5,3,9,3,6,2,6,2,2,5,5,6,2,8,8,6,6,,9,7,11,4
20160916,3,NO2,66,59,67,68,108,67,39,52,7,97,50,36,57,42,47,36,25,28,14,18,8,25,31,10,27,4,12,38,10,23,,81,94,80,97
20160916,3,NO2_24h,44,41,47,47,49,43,42,42,17,54,48,43,59,41,37,49,39,31,18,25,13,26,30,4,45,4,16,40,14,33,,70,78,85,74
20160916,3,O3,28,14,25,20,2,24,53,3,86,2,33,57,2,43,51,76,,25,2,89,72,60,60,84,38,103,,46,6,27,,12,17,123,2
20160916,3,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20160916,3,CO,1.1,1.4,1.2,1.5,1.1,1.4,1,0.8,1.1,1.7,1.1,1.4,0.7,1.2,1.7,1.4,0.9,0.9,0.1,1,0.6,0.7,0.7,0.9,0.8,0.6,1.1,1.6,0.9,1,,1.2,1.1,,1.3
20160916,3,CO_24h,1.1,1,1,1.1,0.9,1,1,0.6,1,1.1,1,1.1,0.9,1.1,1.5,1.1,1,0.9,0.9,0.9,0.7,0.7,0.6,0.1,0.5,0.6,0.9,1.4,0.9,0.8,,1,1,,1
20160916,4,SO2,3,2,2,2,2,3,2,8,2,2,2,2,3,2,2,18,3,2,2,8,2,2,2,2,2,2,13,4,2,3,2,7,4,10,4
20160916,4,SO2_24h,5,3,4,3,3,5,4,8,6,3,4,4,4,5,3,9,3,6,2,6,2,2,5,5,6,2,8,8,6,6,4,9,7,11,4
20160916,4,NO2,104,36,72,69,89,73,41,50,10,91,53,39,62,47,31,36,33,44,16,24,8,18,21,12,13,4,16,33,10,33,96,86,104,75,91
20160916,4,NO2_24h,45,39,47,46,49,43,42,42,17,56,47,42,58,39,35,47,38,31,18,26,13,26,30,4,43,4,17,38,13,32,69,70,78,85,74
20160916,4,O3,2,11,15,10,3,9,38,,89,2,23,45,2,23,61,64,,14,47,75,64,64,68,61,40,90,,51,4,,8,2,3,127,2
20160916,4,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20160916,4,CO,1.1,1.3,1.1,1.4,1,1.4,1,0.9,1,1.5,1,1.2,0.5,1.2,1.7,1.5,0.6,0.8,0.6,1,0.6,0.7,0.7,0.9,0.8,0.5,1.5,1.7,0.9,1,1.4,1.2,1.1,,1.2
20160916,4,CO_24h,1.1,1.1,1,1.1,0.9,1,1,0.7,1,1.1,1,1.1,0.9,1.1,1.5,1.1,0.9,0.9,0.9,0.9,0.7,0.7,0.6,0.2,0.6,0.6,0.9,1.4,0.9,0.8,1.2,1,1,,1
20160916,5,SO2,2,2,2,2,2,3,2,6,2,2,2,2,2,2,2,17,2,2,2,7,2,2,2,2,2,2,13,3,2,3,2,7,4,9,3
20160916,5,SO2_24h,5,3,4,3,3,5,4,8,6,3,4,4,4,5,3,10,3,6,2,6,2,2,5,5,6,2,9,8,6,6,4,9,7,11,4
20160916,5,NO2,89,67,76,82,61,86,35,54,22,56,57,35,74,57,22,38,40,72,,28,7,21,48,2,13,,17,30,11,45,106,97,94,77,84
20160916,5,NO2_24h,46,39,48,47,48,44,41,43,17,57,47,40,58,39,33,45,39,32,,26,13,24,30,4,41,,17,37,13,32,70,71,78,85,75
20160916,5,O3,2,2,4,2,21,2,46,2,74,26,27,43,16,3,56,54,,4,48,70,48,44,26,61,34,91,,40,2,2,2,2,6,139,2
20160916,5,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20160916,5,CO,1.4,1.3,1.2,1.3,1,1.4,1.1,0.9,1.1,1.2,1,1.2,0.6,1.2,1.7,1.5,0.7,1.2,0.8,1.1,0.7,0.7,0.7,1,0.7,0.4,1.5,1.8,0.9,1,1.3,1.2,1.1,,1.1
20160916,5,CO_24h,1.1,1.1,1.1,1.1,0.9,1,1,0.7,1,1.1,1,1.1,0.9,1.1,1.5,1.2,0.9,1,0.9,0.9,0.7,0.7,0.6,0.2,0.6,0.6,0.9,1.5,0.9,0.8,1.2,1,1.1,,1
