date,hour,type,东四,天坛,官园,万寿西宫,奥体中心,农展馆,万柳,北部新区,植物园,丰台花园,云岗,古城,房山,大兴,亦庄,通州,顺义,昌平,门头沟,平谷,怀柔,密云,延庆,定陵,八达岭,密云水库,东高村,永乐店,榆垡,琉璃河,前门,永定门内,西直门北,南三环,东四环
20160323,0,SO2,20,18,17,17,13,19,17,12,13,15,12,14,12,17,15,18,15,2,13,14,6,2,2,3,2,3,9,12,16,15,17,28,17,19,19
20160323,0,SO2_24h,31,28,28,30,26,32,27,20,22,29,20,25,23,27,27,37,17,16,21,19,17,12,9,17,16,11,16,22,24,25,29,42,32,32,35
20160323,0,NO2,78,80,85,72,65,92,103,112,98,76,83,81,86,74,78,94,78,20,72,68,2,5,6,2,9,2,50,76,82,59,92,88,102,91,78
20160323,0,NO2_24h,79,78,87,78,66,97,98,112,62,85,58,68,84,80,73,96,70,69,63,44,31,33,27,47,19,15,26,86,71,66,102,99,112,106,93
20160323,0,O3,5,7,2,4,4,4,2,2,2,5,2,9,5,4,4,2,3,77,16,8,77,89,89,98,87,70,26,35,8,29,2,2,2,2,2
20160323,0,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20160323,0,CO,1.2,1.2,1.1,1,1.4,1.2,1.2,1.1,1.3,0.8,1.5,1.3,1.1,1.1,1.4,1.2,1.7,0.3,1.1,1,0.1,0.3,0.2,1,0.2,0.2,0.7,1.5,1.1,0.7,1.1,1.1,1.2,1.1,1.7
20160323,0,CO_24h,1.6,1.6,1.6,1.5,1.7,1.4,1.4,1.8,1.2,1.5,1.3,1.5,1.3,1.6,1.4,1.6,1.1,1.1,1.2,1.2,0.8,0.8,0.8,1.3,0.8,0.7,0.9,1.5,1.5,0.9,1.6,1.6,1.6,1.7,1.8
20160323,1,SO2,19,18,19,17,14,17,17,9,13,15,10,15,15,18,14,17,15,2,12,15,5,2,2,2,2,4,9,11,19,14,17,25,16,17,18
20160323,1,SO2_24h,30,28,28,29,25,32,26,19,22,28,20,24,22,26,27,36,17,15,21,18,16,11,8,16,15,11,15,22,24,24,28,41,31,31,34
20160323,1,NO2,82,83,90,76,62,91,93,113,94,82,72,78,88,80,79,99,77,16,86,52,2,5,6,2,2,2,42,88,97,65,95,88,101,91,77
20160323,1,NO2_24h,80,78,87,77,65,96,96,111,63,84,59,67,82,78,73,95,69,68,63,46,29,30,25,45,19,14,27,84,72,65,100,97,111,104,90
20160323,1,O3,2,4,2,2,5,3,6,2,2,2,5,5,3,3,4,2,3,81,4,19,75,84,82,97,86,67,31,20,2,17,2,2,2,2,2
20160323,1,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20160323,1,CO,1.7,1.5,1.5,1.5,1.9,1.6,1.2,0.9,1.3,1.1,1.2,1.3,1,1.7,1.2,1.4,1.5,0.2,1.2,0.9,0.1,0.3,0.3,0.8,0.2,0.2,1,1.7,1.7,0.6,1.7,1.5,1.4,1.5,1.8
20160323,1,CO_24h,1.6,1.6,1.6,1.5,1.7,1.4,1.4,1.7,1.2,1.5,1.3,1.4,1.3,1.6,1.4,1.6,1.1,1.1,1.2,1.2,0.7,0.8,0.8,1.3,0.8,0.6,0.9,1.5,1.5,0.9,1.6,1.6,1.6,1.7,1.8
20160323,2,SO2,18,16,15,14,14,16,14,7,6,11,9,16,14,11,11,17,10,2,10,11,2,2,2,2,3,3,9,11,15,14,14,17,14,11,17
20160323,2,SO2_24h,29,28,27,28,25,31,26,19,21,28,19,24,21,25,26,35,16,14,20,18,16,11,8,16,14,10,15,22,23,24,27,41,30,30,33
20160323,2,NO2,77,73,80,69,61,90,97,96,55,77,81,71,94,78,85,100,42,14,74,57,2,5,9,2,2,2,37,96,95,75,82,85,92,84,78
20160323,2,NO2_24h,79,77,85,75,63,94,93,109,63,82,59,65,81,75,73,94,67,67,63,47,28,28,24,44,19,13,28,82,72,64,97,94,108,101,87
20160323,2,O3,6,13,4,5,9,3,2,12,32,3,2,9,2,2,2,2,37,80,10,11,72,80,67,95,83,65,34,17,2,10,9,3,2,2,2
20160323,2,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20160323,2,CO,1.3,1.2,1.4,1.3,1.4,1.3,1.4,0.7,0.8,1.5,1.2,1.2,1.1,1.4,1.6,1.3,0.8,0.2,1,0.9,0.1,0.2,0.2,0.6,0.2,0.2,1.5,1.3,1.5,0.7,1.3,1.3,1.4,1.3,1.5
20160323,2,CO_24h,1.6,1.6,1.6,1.5,1.7,1.4,1.4,1.7,1.2,1.5,1.3,1.4,1.2,1.6,1.5,1.6,1.1,1.1,1.2,1.2,0.7,0.7,0.7,1.3,0.7,0.6,0.9,1.5,1.5,0.9,1.6,1.6,1.6,1.7,1.7
20160323,3,SO2,14,12,11,11,9,16,12,6,2,12,8,10,13,10,10,20,3,2,2,10,2,2,2,2,3,3,7,11,14,17,10,17,13,13,16
20160323,3,SO2_24h,28,28,27,27,24,30,25,18,20,27,19,23,20,25,25,35,15,14,20,18,15,10,7,15,14,10,14,21,23,23,27,40,30,29,32
20160323,3,NO2,73,43,71,48,60,90,94,85,22,60,80,59,95,80,88,95,13,17,23,39,2,5,7,2,2,2,40,99,103,86,63,45,83,56,79
20160323,3,NO2_24h,77,75,82,72,61,91,91,107,61,79,60,62,79,73,74,93,64,67,61,48,27,26,23,42,19,12,29,81,73,63,94,90,105,98,84
20160323,3,O3,7,45,11,30,15,2,2,20,56,18,2,18,2,2,2,2,68,78,63,25,70,80,71,93,83,64,30,13,2,7,23,36,7,22,2
20160323,3,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20160323,3,CO,1,0.6,0.8,0.6,0.9,1.1,1.1,0.6,0.3,0.8,1.5,0.6,1.6,1.5,1.4,0.9,0.3,0.2,0.3,0.6,0.2,0.2,0.2,0.5,0.2,0.2,1.1,1.2,1.6,1.1,0.6,0.4,0.8,0.6,1.2
20160323,3,CO_24h,1.6,1.5,1.5,1.5,1.7,1.4,1.4,1.6,1.2,1.4,1.3,1.3,1.2,1.5,1.5,1.6,1,1.1,1.2,1.2,0.6,0.7,0.7,1.2,0.7,0.6,0.9,1.5,1.5,0.9,1.5,1.5,1.6,1.6,1.7
20160323,4,SO2,8,10,7,8,4,13,9,6,2,9,8,3,13,13,13,16,3,2,2,2,2,2,2,2,4,3,7,10,12,12,7,13,11,10,15
20160323,4,SO2_24h,27,28,26,27,23,30,24,18,19,26,19,22,20,24,24,34,15,14,19,17,14,10,7,15,13,10,13,21,22,23,26,39,29,28,31
20160323,4,NO2,54,48,66,50,46,86,85,82,11,67,68,28,92,76,76,36,9,13,16,6,2,4,4,2,2,2,46,99,101,88,59,47,91,51,77
