date,hour,type,东四,天坛,官园,万寿西宫,奥体中心,农展馆,万柳,北部新区,植物园,丰台花园,云岗,古城,房山,大兴,亦庄,通州,顺义,昌平,门头沟,平谷,怀柔,密云,延庆,定陵,八达岭,密云水库,东高村,永乐店,榆垡,琉璃河,前门,永定门内,西直门北,南三环,东四环
20160224,0,PM2.5,21,16,12,17,15,20,16,58,8,13,19,15,23,29,22,8,11,24,26,15,16,12,14,25,15,13,11,27,27,49,22,21,19,30,26
20160224,0,PM2.5_24h,12,12,10,12,13,12,8,17,9,10,10,11,11,11,11,7,9,13,13,11,14,8,11,10,11,7,10,13,15,12,14,12,17,12,12
20160224,0,PM10,,16,15,19,19,21,22,144,,18,27,16,,35,24,13,15,46,28,,22,,,26,,,12,29,30,59,,,,33,39
20160224,0,PM10_24h,,18,16,15,19,16,14,46,,16,17,18,,19,17,20,12,35,18,,19,,,29,,,15,29,31,18,,,,26,21
20160224,0,AQI,22,20,17,18,20,26,38,46,17,30,18,18,20,31,24,21,21,35,19,25,20,23,23,30,32,18,20,30,32,18,24,29,25,26,41
20160224,1,PM2.5,16,13,16,18,14,13,19,49,14,21,19,18,28,37,18,8,12,17,28,11,16,11,18,17,21,9,15,25,31,63,18,16,17,17,18
20160224,1,PM2.5_24h,12,12,10,12,13,12,8,19,9,11,11,11,12,12,11,7,9,12,13,11,14,8,11,10,11,7,10,13,16,14,14,12,16,12,12
20160224,1,PM10,16,14,16,20,15,14,,178,,25,28,24,,,,12,,29,31,,21,14,,24,29,,15,30,42,,,,,20,31
20160224,1,PM10_24h,19,17,16,15,18,16,,51,,16,17,18,,,,20,,34,19,,18,17,,29,18,,15,30,31,,,,,25,21
20160224,1,AQI,20,18,19,20,19,21,33,51,16,34,18,18,24,26,19,21,21,35,20,25,20,20,20,30,34,16,18,30,32,24,21,23,24,26,42
20160224,2,PM2.5,17,15,15,13,15,16,16,43,17,29,26,26,29,29,22,13,10,31,38,27,16,16,29,19,26,6,17,32,39,104,17,11,18,12,16
20160224,2,PM2.5_24h,12,11,10,12,13,12,9,19,9,11,11,12,13,13,12,7,10,13,14,11,14,9,12,10,11,7,10,14,17,18,14,12,16,13,12
20160224,2,PM10,18,,,20,18,,17,134,,44,40,33,,29,26,,,38,,,27,18,,24,26,,,47,53,105,,,,28,32
