,pollution,dew,temp,press,wnd_dir,wnd_spd,snow,rain
73,247.15142857142854,-12.0,-1.0,1016.6,SE,3.0,0,0.0
74,245.76176470588237,-14.0,0.0,1016.6,SW,2.0,0,0.0
75,243.60588235294117,-12.4,4.0,1018.3,NW,1.0,0,1.0
76,230.68000000000004,-14.0,6.0,1016.6,NW,2.0,0,0.0
77,207.18285714285716,-14.0,8.0,1016.6,SE,1.0,0,0.0
78,181.62,-13.3,8.4,1015.7,NE,3.0,0,1.0
79,176.44705882352943,-14.0,8.0,1016.6,SE,3.0,0,0.0
80,180.96857142857144,-13.0,7.0,1016.6,SE,3.0,0,0.0
81,185.0228571428571,-12.7,5.3,1016.3,NE,2.0,0,1.0
82,197.0428571428571,-12.0,4.0,1016.6,SE,1.0,0,0.0
83,191.87941176470588,-11.0,1.0,1016.6,NE,1.0,0,0.0
84,157.50000000000003,-10.8,1.3,1017.7,NE,1.0,0,1.0
85,140.1970588235294,-9.0,0.0,1016.6,NE,1.0,0,0.0
86,123.16969696969696,-9.0,1.0,1016.6,SE,1.0,0,0.0
87,121.86875,-6.6,2.0,1017.7,NE,1.0,0,0.0
88,136.0151515151515,-9.0,1.0,1016.6,SE,1.0,0,0.0
89,154.0411764705882,-9.0,2.0,1016.6,SE,1.0,0,0.0
90,186.86857142857139,-7.5,1.0,1016.7,NW,1.0,0,1.0
91,238.4,-9.0,1.0,1016.6,SE,0.0,0,0.0
92,258.38857142857137,-8.0,-1.0,1016.6,SE,1.0,0,0.0
93,270.3714285714285,-5.8,1.8,1015.9,NE,1.0,0,0.0
94,276.33714285714285,-7.0,-1.0,1016.6,SE,1.0,0,0.0
95,257.16285714285715,-7.0,0.0,1016.6,NE,3.0,0,0.0
96,237.4085714285714,-5.1,2.5,1016.1,NE,2.0,0,7.0
97,221.72285714285712,-9.0,3.0,1016.6,NW,2.0,0,0.0
98,202.5342857142857,-9.0,5.0,1016.6,NW,3.0,0,0.0
99,193.08285714285716,-6.2,7.6,1017.2,NE,1.0,0,1.0
100,194.60285714285718,-9.0,9.0,1016.6,NE,3.0,0,0.0
101,190.7,-12.0,11.0,1016.6,NW,5.0,0,0.0
102,184.73714285714286,-13.5,9.7,1017.5,NW,6.0,0,7.0
103,184.30857142857144,-14.0,9.0,1016.6,NW,9.0,0,10.0
104,182.67142857142852,-16.0,8.0,1016.6,NW,7.0,0,10.0
105,178.05588235294118,-17.9,6.1,1022.8,NW,6.0,0,6.0
106,188.60285714285718,-18.0,4.0,1016.6,NW,8.0,0,10.0
107,181.37575757575755,-21.0,3.0,1016.6,NW,9.0,0,10.0
108,133.43548387096774,-23.4,2.2,1027.2,NW,7.0,0,3.0
109,72.09696969696972,-23.0,1.0,1016.6,NW,9.0,0,10.0
110,36.20312499999999,-23.0,0.0,1016.6,NW,11.0,0,10.0
111,24.119999999999994,-27.1,-0.1,1028.9,NW,5.0,0,0.0
112,16.57142857142857,-24.0,-5.0,1016.6,NW,6.0,0,10.0
113,13.151428571428573,-24.0,-4.0,1016.6,NW,7.0,0,10.0
114,9.958823529411765,-26.1,-1.1,1030.0,NW,4.0,0,0.0
115,11.415151515151512,-24.0,-4.0,1016.6,NE,2.0,0,10.0
116,9.396969696969698,-23.0,-5.0,1016.6,NE,2.0,0,10.0
117,6.84,-22.6,-1.3,1029.7,NW,4.0,0,0.0
118,6.622857142857143,-23.0,-6.0,1016.6,SE,1.0,0,10.0
119,7.7742857142857185,-23.0,-6.0,1016.6,SE,1.0,0,10.0
120,9.580000000000002,-21.1,-2.8,1029.9,NE,2.0,0,0.0
121,8.454285714285714,-19.0,0.0,1016.6,NW,4.0,0,10.0
122,8.442857142857143,-22.0,0.0,1016.6,NE,3.0,0,10.0
123,7.357142857142858,-21.8,2.2,1028.8,NW,1.0,0,71.0
124,6.5371428571428565,-22.0,4.0,1016.6,NW,7.0,0,10.0
125,11.874285714285715,-22.0,5.0,1016.6,NW,7.0,0,10.0
126,8.805714285714286,-22.4,3.4,1025.9,SW,4.0,0,6.0
127,10.142857142857142,-21.0,5.0,1016.6,SW,4.0,0,10.0
128,16.38,-21.0,5.0,1016.6,SW,5.0,0,10.0
129,19.658823529411762,-22.2,1.7,1026.0,SW,2.0,0,6.0
130,22.670588235294108,-22.0,3.0,1016.6,SW,3.0,0,10.0
131,20.241176470588233,-21.0,2.0,1016.6,SW,3.0,0,10.0
132,18.538235294117644,-19.8,-0.7,1026.8,SW,2.0,0,1.0
133,20.04545454545455,-20.0,2.0,1016.6,NW,3.0,0,10.0
134,23.16666666666667,-18.0,-6.0,1016.6,NW,2.0,0,0.0
135,27.227272727272727,-18.9,-2.4,1027.0,SW,1.0,0,0.0
136,32.6,-17.0,-8.0,1016.6,NW,3.0,0,0.0
137,39.03939393939393,-17.0,-5.0,1016.6,NW,1.0,0,0.0
138,48.67941176470589,-16.9,-4.8,1027.5,SE,0.0,0,1.0
139,66.28235294117647,-17.0,-7.0,1016.6,NW,3.0,0,10.0
140,82.58235294117648,-17.0,-7.0,1016.6,NW,2.0,0,10.0
141,94.62058823529414,-15.7,-6.5,1027.7,SE,0.0,0,0.0
142,103.4558823529412,-14.0,-8.0,1016.6,SE,1.0,0,10.0
143,110.12941176470586,-17.0,-7.0,1016.6,NW,2.0,0,10.0
144,114.40588235294119,-16.6,-4.8,1030.0,NE,1.0,0,7.0
145,114.61470588235296,-15.0,-3.0,1016.6,NW,2.0,0,10.0
146,112.42058823529413,-18.0,1.0,1016.6,SE,1.0,0,10.0
147,107.5735294117647,-19.3,1.9,1031.5,NE,3.0,0,1.0
148,93.26764705882351,-20.0,3.0,1016.6,SE,2.0,0,10.0
149,77.26764705882353,-20.0,3.0,1016.6,SE,2.0,0,10.0
150,62.12058823529413,-19.5,3.2,1030.4,SW,2.0,0,7.0
151,53.33235294117648,-20.0,3.0,1016.6,SE,1.0,0,10.0
152,46.53823529411764,-20.0,3.0,1016.6,SE,1.0,0,10.0
153,53.14117647058821,-17.7,1.8,1030.8,NE,1.0,0,6.0
154,56.28235294117647,-17.0,-2.0,1016.6,SE,0.0,0,10.0
155,62.15312500000001,-15.0,-4.0,1016.6,SE,1.0,0,0.0
156,57.25757575757576,-11.8,-1.1,1032.1,SE,1.0,0,1.0
157,53.00312499999999,-10.0,-3.0,1016.6,SE,2.0,0,0.0
158,50.83333333333334,-10.0,-5.0,1016.6,SE,1.0,0,0.0
159,52.50606060606058,-7.9,-2.6,1032.2,SW,1.0,0,0.0
160,55.532352941176484,-10.0,-5.0,1016.6,SE,1.0,0,0.0
161,59.588571428571434,-10.0,-5.0,1016.6,SE,1.0,0,0.0
162,67.6314285714286,-6.3,-3.7,1032.9,SW,2.0,0,1.0
163,78.58571428571429,-10.0,-5.0,1016.6,NE,2.0,0,0.0
164,92.60285714285713,-11.0,-6.0,1016.6,SE,1.0,0,0.0
