date,hour,type,东四,天坛,官园,万寿西宫,奥体中心,农展馆,万柳,北部新区,植物园,丰台花园,云岗,古城,房山,大兴,亦庄,通州,顺义,昌平,门头沟,平谷,怀柔,密云,延庆,定陵,八达岭,密云水库,东高村,永乐店,榆垡,琉璃河,前门,永定门内,西直门北,南三环,东四环
20141224,0,SO2,11.6,9.8,6.7,10.8,,9.8,21.6,26.1,21.5,16.7,29.2,26.4,30.4,15.2,8.3,25.3,38.7,14,32.6,50,22.2,8.7,33.4,3.2,53.5,6.8,20.6,35.4,74,62.7,8.5,10.1,8.4,19.5,12.9
20141224,0,SO2_24h,47.7,25.8,57.7,50.2,,51.9,58.2,41.6,43.1,61.5,59.1,52.3,53.2,87.9,73.4,75.1,42.1,61.1,44.9,36.9,22.4,22.5,32.9,41.8,92.5,12.8,32.2,54.9,73.8,77.7,52,59.6,61.3,74,41.6
20141224,0,NO2,32,38.5,51.6,50.4,,39.7,62.6,38.8,35.7,61.7,48,59.1,77.6,56.9,31.3,62,66.5,14.8,51.4,82.8,51.5,14.3,59.2,3.8,22.4,8.8,55.5,90,103.6,98.6,32.4,43.9,44.8,69.2,46.1
20141224,0,NO2_24h,75,90.1,96.6,96.5,,88.2,87.9,69.9,70.9,113.3,100.4,89.5,117.7,125.2,103.2,92.7,64.2,59.5,77,69.6,50.6,45.9,60.1,24.4,45.4,16.2,144.3,111,84.9,115.7,89.6,97,87.3,122,67.5
20141224,0,O3,40.3,43.7,18.8,26.3,,43.9,2.7,18.3,39.5,2,26.1,11,5.7,20.2,51.5,5.7,11.7,55,13.7,11.1,15.3,52.1,2,48.4,37.9,54.4,33.5,2,2.2,7.1,42.1,27.1,34.1,2,32.1
20141224,0,O3_24h,40.3,43.7,18.8,30.5,,55.3,17.2,30.7,47.6,10.1,26.1,20.4,21.8,67.9,51.5,35.8,40.6,55,29,59.6,59.6,71.3,36.2,49.7,58.3,76.9,53.7,17.9,33.6,9.8,42.1,27.1,34.1,3.8,41.9
20141224,0,CO,0.6,0.4,0.6,0.6,,0.4,1.1,1,0.8,0.8,0.8,0.9,1.6,0.7,0.4,0.9,1.7,0.4,1.3,4.4,1.4,0.8,1.5,0.3,0.6,0.3,1.1,2.1,4.9,10.2,0.5,0.7,0.5,1,0.4
20141224,0,CO_24h,2.5,2.6,2.5,2.6,,2.4,3.3,4.7,1.7,3.7,2.4,3,4.3,4.8,3.4,5,1.5,2.8,2.2,2.9,1.3,1.8,2.8,0.8,1.1,0.5,1.3,6.1,4.6,9,2.6,2.9,2.7,3.7,3.1
20141224,1,SO2,5.7,6.7,3.6,7.5,,7.2,15.4,28.6,21.4,15.5,31.9,22.3,29.8,14.7,9.3,23.5,19.3,21.1,17,30.1,22.2,5.8,26.9,5.1,50.6,3,16.4,,36.7,57.1,5.3,5.5,8.2,13.8,12.4
20141224,1,SO2_24h,44.6,23.9,54.8,48.1,,48.5,55.8,42,43,58.9,58.2,51.8,52.8,84.7,70.7,70.6,41.1,60.4,44.2,37.3,22.4,21.9,33.3,41.5,93.3,12.6,30.9,,71.6,76.6,49,56.1,58.5,69.9,40.3
