date,hour,type,东四,天坛,官园,万寿西宫,奥体中心,农展馆,万柳,北部新区,植物园,丰台花园,云岗,古城,房山,大兴,亦庄,通州,顺义,昌平,门头沟,平谷,怀柔,密云,延庆,定陵,八达岭,密云水库,东高村,永乐店,榆垡,琉璃河,前门,永定门内,西直门北,南三环,东四环
20140601,0,SO2,3.4,,2,2,4.3,2,4.2,23.9,2,2,2.5,2,2,8.5,,2,2,2,2,5.7,,4.4,4.7,,2,4.3,4.2,8.9,,8.7,2,3.2,2,3.6,10.5
20140601,0,SO2_24h,58.5,,51.2,48.9,48.3,60.2,44.8,44.2,36.6,38.4,38.9,27,26.6,46,,54,35.1,31.6,31.3,18.2,,30.3,31.5,,31,21.5,41.9,54.7,,32.7,59.1,47.2,54.2,47.4,52.5
20140601,0,NO2,,14.6,22.2,15.1,17.8,19.5,17.5,6.7,5.8,29.2,10.3,18.3,13.2,10.3,,17.6,,14.4,10.9,32.2,,9.4,7.1,,23,2.1,22,7.1,,16.3,22.5,15.5,27.2,77.6,18.6
20140601,0,NO2_24h,,52.9,63.4,61.5,74.2,80.8,91.9,44.3,44.7,63.3,54.2,75.9,65.1,65.5,,75.1,,43.2,56.8,69.9,,48.4,36.7,,96.5,8,43.1,43.2,,52.6,93.8,87.7,83.5,160.6,130.4
20140601,0,O3,116.2,152.3,124.4,135.8,135.4,159.6,96.1,119.5,182.5,119.7,135.7,122.7,117.5,139.4,,152.2,145.4,133.3,129,97,,182.9,138.7,,160.1,196.5,165.7,162.5,,112,145.9,144.4,101.3,62.8,144.1
20140601,0,O3_24h,252,318,306.7,301.5,276.6,328.5,292,288.9,328.7,307.8,305.9,301.6,258.8,301.6,,303.1,318.1,321.4,304.1,193,,316.3,248.6,,312.3,302.3,297.6,280.7,,290.1,254.6,241.5,260.8,113.7,232.7
20140601,0,CO,0.9,0.7,1.1,0.8,0.5,0.8,0.6,0.6,0.1,0.8,0.8,0.8,0.7,0.6,,0.6,0.7,0.7,0.6,0.8,,0.7,0.6,,0.7,0.3,0.6,0.4,,0.5,0.8,0.5,0.6,0.8,0.3
20140601,0,CO_24h,2.4,2.2,2.4,2.3,2.1,2.4,2,1.4,1.1,2.1,1.9,1.9,1.8,2,,2.6,2.3,1.7,1.5,2,,1.6,1.2,,1.5,1.4,1.8,2.2,,1.3,2.5,2.2,2.3,2.6,2.2
20140601,1,SO2,4,,2,2,4,2,3.1,22.6,2.1,2,2.3,2,2,9.1,,2,2,2,2,4.6,,5.5,4.2,,2,3.8,2.9,9.5,,8.7,2,2.8,2.9,4.1,9.3
20140601,1,SO2_24h,57.3,,50.1,48.1,47.5,59.2,43.6,44.2,35.6,37.3,37.7,26.3,25.9,44.8,,53.8,33.7,30.8,30.8,17.8,,29.7,30.2,,29.8,21,40.3,53.9,,32,57.8,46.6,52.7,46.7,52
20140601,1,NO2,,17.6,20.1,17.6,24.1,19.4,17.5,5.5,4.9,28.1,7.6,22.6,9.6,11.5,,18.5,,7.9,11.2,40.3,,16.6,7.6,,14.2,2.6,19.6,11.4,,18.8,19.2,20.6,32.8,77.7,51
20140601,1,NO2_24h,,52,62.3,60.3,72.9,78.8,87.4,42.4,43.6,62.4,52.3,72.4,62.9,63.5,,73.2,,42.5,53.8,69.6,,45.9,35.8,,87.5,7.7,42.2,42.9,,50.5,91.9,85.2,82.4,159.6,125.4
20140601,1,O3,113.9,134.3,126.7,130.9,127.2,149.2,98.6,107.9,185.5,115.2,142.8,131.2,127.6,123,,136.5,139.1,135.2,148.5,72.3,,167.4,128.3,,161,166,166.2,146.9,,69.9,131.1,127,97.9,58.7,80.3
